Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
PRSS57,ENSG00000185198,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SPINK2,ENSG00000128040,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
HIF1A,ENSG00000100644,"hypoxia, stress",multiple,Tissue  expert added,,,,FALSE,NA,TRUE,Highly expressed
ACER1,ENSG00000167769,Immune cells,CD4_RGCC,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
CCL19,ENSG00000172724,Immune cells,DC_CLEC9A_migrating; Pro-inflammatory Fibroblasts,Tissue  expert added,Skin,,,TRUE,"General - Fibroblasts,General - Monocytes,General - Smooth muscle cells",FALSE,
CCL22,ENSG00000102962,Immune cells,DC_Langerhans cells_migrating; DC,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
CD1A,ENSG00000158477,Immune cells,DC_Langerhans cells; Macrophages and DC_3,Tissue  expert added,Skin,,,TRUE,"General - Dendritic cells,Skin - Langerhans cells",FALSE,
CD1B,ENSG00000158485,Immune cells,DC_Langerhans cells_migrating,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
PTGDR2,ENSG00000183134,immune lymphoid,"CD4 (Th2),ILCs, ",MxIF Proteins,,,CRTH2,FALSE,NA,FALSE,
BANK1,ENSG00000153064,"immune lymphoid, B",B cell,Tissue  expert added,,,,TRUE,"General - B cells,General - T cells",TRUE,
BLK,ENSG00000136573,"immune lymphoid, B",memory B cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD19,ENSG00000177455,"immune lymphoid, B","follicular B cell,mature B cell",TOP 5 (CZI) List,,,,TRUE,General - B cells,FALSE,
